,BookingID,UserID,ProviderID,HotelID,BookingDate,HotelType,HotelRank,Days_Since_Booked,Month
0,17556,2591,1,88879,2018-08-11 10:01:20,2,5,1657,8
1,17557,3101,1,88879,2018-08-13 14:51:16,2,5,1655,8
2,17598,3101,1,88879,2018-12-20 14:59:32,2,5,1526,12
4,17604,9459937,1,88879,2019-01-23 10:31:13,2,5,1492,1
5,17619,9465793,1,88879,2019-02-12 14:29:12,2,5,1472,2
7,17624,9465059,1,88879,2019-02-13 13:40:59,2,5,1471,2
8,17632,9466850,1,88879,2019-02-13 18:00:27,2,5,1471,2
9,17644,9466378,1,88879,2019-02-18 13:03:30,2,5,1466,2
10,17646,9465793,1,88879,2019-02-18 17:54:03,2,5,1466,2
11,17654,9466542,1,88879,2019-02-20 13:11:08,2,5,1464,2
12,17667,9466055,1,88879,2019-02-25 15:35:43,2,5,1459,2
13,17699,9466599,1,88879,2019-03-07 15:13:09,2,5,1449,3
14,17746,9466756,1,88879,2019-03-20 16:12:14,2,5,1436,3
15,17764,9467326,1,88879,2019-03-27 14:40:20,2,5,1429,3
16,17793,9467203,1,88879,2019-04-06 17:07:49,2,5,1419,4
17,17799,9467532,1,88879,2019-04-09 12:33:14,2,5,1416,4
18,17803,9467532,1,88879,2019-04-09 14:02:33,2,5,1416,4
19,17804,9467532,1,88879,2019-04-09 15:44:14,2,5,1416,4
20,17805,9467532,1,88879,2019-04-09 16:37:19,2,5,1416,4
21,17818,9467532,1,88879,2019-04-14 15:07:19,2,5,1411,4
23,17829,9464382,1,88879,2019-04-18 11:02:56,2,5,1407,4
24,17835,9464198,1,88879,2019-04-23 15:13:07,2,5,1402,4
26,17843,9464198,1,88879,2019-04-24 08:35:14,2,5,1401,4
28,17847,9466542,1,88879,2019-04-24 13:42:13,2,5,1401,4
30,17848,9466542,1,88879,2019-04-24 13:52:10,2,5,1401,4
32,17850,9465793,1,88879,2019-04-25 10:01:58,2,5,1400,4
34,17855,9467209,1,88879,2019-04-29 10:54:02,2,5,1396,4
35,17860,9465793,1,88879,2019-05-03 09:46:47,2,5,1392,5
37,17867,9467034,1,88879,2019-05-04 17:38:51,2,5,1391,5
38,17875,9464955,1,88879,2019-05-08 18:24:06,2,5,1387,5
39,17896,9464188,1,88879,2019-05-21 18:36:20,2,5,1374,5
40,17901,9465793,1,88879,2019-05-23 18:22:04,2,5,1372,5
41,17909,9467532,1,88879,2019-05-27 09:46:07,2,5,1368,5
42,17910,9467532,1,88879,2019-05-27 10:47:04,2,5,1368,5
43,17911,9460188,1,88879,2019-05-27 10:58:11,2,5,1368,5
44,17912,9467532,1,88879,2019-05-27 11:59:25,2,5,1368,5
45,17913,9467532,1,88879,2019-05-27 12:23:16,2,5,1368,5
46,17914,9467532,1,88879,2019-05-27 12:30:15,2,5,1368,5
47,17916,9467532,1,88879,2019-05-27 16:02:36,2,5,1368,5
48,17917,9467532,1,88879,2019-05-27 16:41:11,2,5,1368,5
49,17921,9467532,1,88879,2019-05-28 11:15:44,2,5,1367,5
50,17922,9467532,1,88879,2019-05-28 12:40:16,2,5,1367,5
51,17923,9467376,1,88879,2019-05-29 15:01:02,2,5,1366,5
52,17924,9467532,1,88879,2019-05-30 11:15:15,2,5,1365,5
53,17925,9467532,1,88879,2019-05-30 11:46:26,2,5,1365,5
54,17927,9467532,1,88879,2019-05-30 15:28:10,2,5,1365,5
55,17929,9467532,1,88879,2019-05-30 16:07:00,2,5,1365,5
56,17930,9467532,1,88879,2019-05-30 16:19:32,2,5,1365,5
57,17931,9467532,1,88879,2019-05-30 16:40:00,2,5,1365,5
58,17932,9467532,1,88879,2019-05-30 16:50:32,2,5,1365,5
59,17933,9467532,1,88879,2019-05-30 17:06:17,2,5,1365,5
60,17934,9467532,1,88879,2019-05-30 17:11:57,2,5,1365,5
61,17935,9467532,1,88879,2019-05-30 17:14:38,2,5,1365,5
62,17936,9467532,1,88879,2019-05-31 11:53:44,2,5,1364,5
63,17937,9467532,1,88879,2019-05-31 13:57:49,2,5,1364,5
64,17938,9467532,1,88879,2019-05-31 14:16:05,2,5,1364,5
65,17939,9467532,1,88879,2019-05-31 16:28:26,2,5,1364,5
66,17940,9467532,1,88879,2019-05-31 16:36:57,2,5,1364,5
67,17941,9467532,1,88879,2019-05-31 17:10:56,2,5,1364,5
68,17947,9465351,1,88879,2019-06-04 10:02:06,2,5,1360,6
69,17951,9465793,1,88879,2019-06-05 08:12:33,2,5,1359,6
70,17968,9465793,1,88879,2019-06-09 10:16:35,2,5,1355,6
71,17999,9465793,1,88879,2019-06-19 11:59:33,2,5,1345,6
72,18000,9467532,1,88879,2019-06-19 13:25:04,2,5,1345,6
73,18003,9467532,1,88879,2019-06-20 12:15:08,2,5,1344,6
74,18010,9467034,1,88879,2019-06-21 09:03:31,2,5,1343,6
76,18013,9465009,1,88879,2019-06-22 09:24:02,2,5,1342,6
77,18014,9465793,1,88879,2019-06-22 14:58:03,2,5,1342,6
