,UserID,HotelID,Number_Booked,Number_Booked_log
2,2976,2956,3,2.09861228866811
41,9459937,2956,11,3.39789527279837
195,9463950,2956,3,2.09861228866811
232,9463953,2956,1,1
264,9463965,2956,1,1
373,9464080,2956,1,1
687,9464342,2956,1,1
791,9464416,2956,1,1
844,9464478,2956,3,2.09861228866811
906,9464513,2956,1,1
923,9464544,2956,1,1
1052,9464617,2956,1,1
1064,9464631,2956,1,1
1230,9464832,2956,7,2.94591014905531
1441,9465027,2956,1,1
1451,9465045,2956,1,1
1462,9465051,2956,2,1.69314718055995
1505,9465056,2956,2,1.69314718055995
1561,9465097,2956,1,1
1659,9465138,2956,1,1
1688,9465178,2956,3,2.09861228866811
1795,9465291,2956,1,1
1800,9465295,2956,1,1
2106,9465667,2956,1,1
2159,9465751,2956,1,1
2204,9465766,2956,2,1.69314718055995
2232,9465782,2956,2,1.69314718055995
2252,9465783,2956,1,1
2263,9465793,2956,20,3.99573227355399
2381,9465799,2956,1,1
2398,9465800,2956,1,1
2565,9465829,2956,3,2.09861228866811
2685,9465854,2956,1,1
2721,9465863,2956,6,2.79175946922805
2902,9465904,2956,1,1
3001,9465947,2956,5,2.6094379124341
3167,9466010,2956,1,1
3178,9466014,2956,1,1
3219,9466034,2956,1,1
3239,9466042,2956,1,1
3299,9466055,2956,5,2.6094379124341
3363,9466060,2956,2,1.69314718055995
3548,9466104,2956,1,1
3618,9466110,2956,1,1
3640,9466121,2956,1,1
3687,9466129,2956,1,1
3827,9466178,2956,1,1
3840,9466180,2956,1,1
4172,9466230,2956,2,1.69314718055995
4310,9466266,2956,1,1
4432,9466297,2956,1,1
4450,9466301,2956,3,2.09861228866811
4487,9466309,2956,1,1
4505,9466312,2956,5,2.6094379124341
4699,9466371,2956,1,1
4767,9466386,2956,2,1.69314718055995
4815,9466392,2956,2,1.69314718055995
4899,9466409,2956,1,1
4954,9466422,2956,1,1
5048,9466431,2956,1,1
5066,9466442,2956,3,2.09861228866811
5081,9466449,2956,1,1
5098,9466467,2956,2,1.69314718055995
5376,9466517,2956,1,1
5395,9466544,2956,1,1
5437,9466557,2956,8,3.07944154167984
5591,9466594,2956,1,1
5715,9466619,2956,1,1
5752,9466625,2956,5,2.6094379124341
5803,9466640,2956,1,1
5877,9466664,2956,1,1
5942,9466691,2956,1,1
6273,9466746,2956,1,1
6325,9466753,2956,1,1
6352,9466774,2956,2,1.69314718055995
6444,9466799,2956,4,2.38629436111989
6541,9466843,2956,11,3.39789527279837
6645,9466851,2956,1,1
6785,9466877,2956,1,1
6930,9466953,2956,2,1.69314718055995
6947,9466954,2956,12,3.484906649788
7080,9466991,2956,2,1.69314718055995
7137,9467004,2956,1,1
7318,9467034,2956,1,1
7392,9467053,2956,1,1
7428,9467073,2956,1,1
7507,9467093,2956,1,1
7509,9467098,2956,1,1
7537,9467109,2956,3,2.09861228866811
7584,9467114,2956,1,1
7630,9467143,2956,1,1
7663,9467145,2956,1,1
7737,9467156,2956,1,1
7807,9467172,2956,1,1
7892,9467203,2956,5,2.6094379124341
7975,9467252,2956,1,1
8024,9467255,2956,11,3.39789527279837
8267,9467304,2956,1,1
8325,9467305,2956,1,1
8334,9467314,2956,1,1
8400,9467315,2956,1,1
8489,9467345,2956,1,1
8569,9467383,2956,2,1.69314718055995
8620,9467393,2956,1,1
8656,9467397,2956,2,1.69314718055995
8832,9467449,2956,1,1
8840,9467453,2956,2,1.69314718055995
8901,9467470,2956,4,2.38629436111989
8906,9467474,2956,2,1.69314718055995
8939,9467486,2956,2,1.69314718055995
8993,9467531,2956,1,1
9001,9467532,2956,2,1.69314718055995
9068,9467543,2956,1,1
9200,9467588,2956,1,1
9287,9467596,2956,1,1
9295,9467600,2956,2,1.69314718055995
9317,9467607,2956,2,1.69314718055995
9516,9467664,2956,1,1
9547,9467673,2956,2,1.69314718055995
9658,9467702,2956,1,1
9732,9467736,2956,1,1
9741,9467746,2956,2,1.69314718055995
10097,9467885,2956,1,1
10326,9468018,2956,10,3.30258509299405
10614,9468020,2956,1,1
11224,9468257,2956,1,1
11417,9468331,2956,2,1.69314718055995
11930,9468427,2956,2,1.69314718055995
11985,9468430,2956,182,6.2040066870768
13084,9468437,2956,1,1
13091,9468438,2956,1,1
13128,9468446,2956,1,1
13143,9468449,2956,5,2.6094379124341
13264,9468465,2956,1,1
13419,9468975,2956,1,1
13444,9468990,2956,6,2.79175946922805
13633,9469016,2956,2,1.69314718055995
